"stock","MortType","Catch.Year","FisheryGroup","CYER"
"DOM","LC",1991,"AABM.CA",0
"DOM","LC",1991,"AABM.US",0
"DOM","LC",1991,"ISBM.CA",17.006804
"DOM","LC",1991,"ISBM.US",13.605442
"DOM","LC",1991,"Terminal.SEAK",0
"DOM","LC",1992,"AABM.CA",3.821656
"DOM","LC",1992,"AABM.US",0
"DOM","LC",1992,"ISBM.CA",57.324841
"DOM","LC",1992,"ISBM.US",7.006369
"DOM","LC",1992,"Terminal.SEAK",0
"DOM","LC",1993,"AABM.CA",2.601156
"DOM","LC",1993,"AABM.US",0
"DOM","LC",1993,"ISBM.CA",61.560693
"DOM","LC",1993,"ISBM.US",1.445087
"DOM","LC",1993,"Terminal.SEAK",0
"DOM","LC",1994,"AABM.CA",1.355932
"DOM","LC",1994,"AABM.US",0.677966
"DOM","LC",1994,"ISBM.CA",30.169491
"DOM","LC",1994,"ISBM.US",0
"DOM","LC",1994,"Terminal.SEAK",0
"DOM","LC",1995,"AABM.CA",1.747573
"DOM","LC",1995,"AABM.US",0
"DOM","LC",1995,"ISBM.CA",29.320388
"DOM","LC",1995,"ISBM.US",1.359224
"DOM","LC",1995,"Terminal.SEAK",0
"DOM","LC",1996,"AABM.CA",0
"DOM","LC",1996,"AABM.US",0
"DOM","LC",1996,"ISBM.CA",48.285714
"DOM","LC",1996,"ISBM.US",1.428571
"DOM","LC",1996,"Terminal.SEAK",0
"DOM","LC",1997,"AABM.CA",0.949367
"DOM","LC",1997,"AABM.US",0
"DOM","LC",1997,"ISBM.CA",44.936709
"DOM","LC",1997,"ISBM.US",2.531646
"DOM","LC",1997,"Terminal.SEAK",0
"DOM","LC",1998,"AABM.CA",0
"DOM","LC",1998,"AABM.US",0
"DOM","LC",1998,"ISBM.CA",55.263158
"DOM","LC",1998,"ISBM.US",0
"DOM","LC",1998,"Terminal.SEAK",0
"DOM","LC",2001,"AABM.CA",1.993355
"DOM","LC",2001,"AABM.US",0
"DOM","LC",2001,"ISBM.CA",76.079734
"DOM","LC",2001,"ISBM.US",0.332226
"DOM","LC",2001,"Terminal.SEAK",0
"DOM","LC",2002,"AABM.CA",23.30827
"DOM","LC",2002,"AABM.US",0
"DOM","LC",2002,"ISBM.CA",30.827067
"DOM","LC",2002,"ISBM.US",3.759398
"DOM","LC",2002,"Terminal.SEAK",0
"DOM","LC",2003,"AABM.CA",11.409396
"DOM","LC",2003,"AABM.US",0
"DOM","LC",2003,"ISBM.CA",73.154363
"DOM","LC",2003,"ISBM.US",0
"DOM","LC",2003,"Terminal.SEAK",0
"DOM","LC",2005,"AABM.CA",3.669725
"DOM","LC",2005,"AABM.US",0
"DOM","LC",2005,"ISBM.CA",70.642202
"DOM","LC",2005,"ISBM.US",0
"DOM","LC",2005,"Terminal.SEAK",0
"DOM","TM",1991,"AABM.CA",0.649351
"DOM","TM",1991,"AABM.US",0
"DOM","TM",1991,"ISBM.CA",18.181818
"DOM","TM",1991,"ISBM.US",14.935065
"DOM","TM",1991,"Terminal.SEAK",0
"DOM","TM",1992,"AABM.CA",4.375
"DOM","TM",1992,"AABM.US",0
"DOM","TM",1992,"ISBM.CA",56.875
"DOM","TM",1992,"ISBM.US",7.5
"DOM","TM",1992,"Terminal.SEAK",0
"DOM","TM",1993,"AABM.CA",3.133903
"DOM","TM",1993,"AABM.US",0
"DOM","TM",1993,"ISBM.CA",61.253562
"DOM","TM",1993,"ISBM.US",1.709402
"DOM","TM",1993,"Terminal.SEAK",0
"DOM","TM",1994,"AABM.CA",2.020202
"DOM","TM",1994,"AABM.US",0.673401
"DOM","TM",1994,"ISBM.CA",29.966329
"DOM","TM",1994,"ISBM.US",0
"DOM","TM",1994,"Terminal.SEAK",0
"DOM","TM",1995,"AABM.CA",2.425373
"DOM","TM",1995,"AABM.US",0
"DOM","TM",1995,"ISBM.CA",30.783583
"DOM","TM",1995,"ISBM.US",1.865671
"DOM","TM",1995,"Terminal.SEAK",0
"DOM","TM",1996,"AABM.CA",0.828729
"DOM","TM",1996,"AABM.US",0
"DOM","TM",1996,"ISBM.CA",48.342541
"DOM","TM",1996,"ISBM.US",2.209945
"DOM","TM",1996,"Terminal.SEAK",0
"DOM","TM",1997,"AABM.CA",0.923077
"DOM","TM",1997,"AABM.US",0
"DOM","TM",1997,"ISBM.CA",46.461539
"DOM","TM",1997,"ISBM.US",2.461538
"DOM","TM",1997,"Terminal.SEAK",0
"DOM","TM",1998,"AABM.CA",0
"DOM","TM",1998,"AABM.US",0
"DOM","TM",1998,"ISBM.CA",55.652174
"DOM","TM",1998,"ISBM.US",0
"DOM","TM",1998,"Terminal.SEAK",0
"DOM","TM",2001,"AABM.CA",1.954397
"DOM","TM",2001,"AABM.US",0
"DOM","TM",2001,"ISBM.CA",76.547231
"DOM","TM",2001,"ISBM.US",0.325733
"DOM","TM",2001,"Terminal.SEAK",0
"DOM","TM",2002,"AABM.CA",23.703704
"DOM","TM",2002,"AABM.US",0
"DOM","TM",2002,"ISBM.CA",31.111111
"DOM","TM",2002,"ISBM.US",3.703704
"DOM","TM",2002,"Terminal.SEAK",0
"DOM","TM",2003,"AABM.CA",12.5
"DOM","TM",2003,"AABM.US",0
"DOM","TM",2003,"ISBM.CA",72.368421
"DOM","TM",2003,"ISBM.US",0
"DOM","TM",2003,"Terminal.SEAK",0
"DOM","TM",2005,"AABM.CA",4.464286
"DOM","TM",2005,"AABM.US",0
"DOM","TM",2005,"ISBM.CA",69.642857
"DOM","TM",2005,"ISBM.US",0.892857
"DOM","TM",2005,"Terminal.SEAK",0
